name,location,show_date_time,event_price,summary,url
An Afon Taf Musical Evening with past pupils & staff,Afon Tâf High SchoolYew Street Troedyrhiw CF48 4ED United Kingdom,"Sunday, November 17 · 1:30 - 3:30pm GMT",Free,6 years on and the Afon Taf choirs of old are back together for another big sing & concert!,https://www.eventbrite.co.uk/e/an-afon-taf-musical-evening-with-past-pupils-staff-tickets-1047916555627?aff=ebdssbdestsearch
Bristol Property Networking Event,BAWA Healthcare & Leisure589 Southmead Road Filton BS34 7RG United Kingdom,"Wed, 20 Nov 2024 19:00 - 21:30 GMT",£20,Helping you to grow your property network and connect with like-minded people who can help you achieve your property goals.,https://www.eventbrite.co.uk/e/bristol-property-networking-event-tickets-748549570917?aff=ebdssbdestsearch
Sew with Nelly Bea Sewing  Session  24th Oct 24,Hall on the Hill17 Marlow Drive Christchurch BH23 2RR United Kingdom,"Starts on Thu, 24 Oct 2024 14:00 GMT+1",Sold Out,"What this workshop is about: 
These sewing sessions are designed to give you support and guidance to complete a project of your choice.",https://www.eventbrite.co.uk/e/sew-with-nelly-bea-sewing-session-24th-oct-24-tickets-944158512527?aff=ebdssbdestsearch
Sew with Nelly Bea Sewing  Session  7th Nov 24,Hall on the Hill17 Marlow Drive Christchurch BH23 2RR United Kingdom,"Starts on Thu, 7 Nov 2024 14:00 GMT",Free,"What this workshop is about: 
These sewing sessions are designed to give you support and guidance to complete a project of your choice.",https://www.eventbrite.co.uk/e/sew-with-nelly-bea-sewing-session-7th-nov-24-tickets-944159064177?aff=ebdssbdestsearch
Public Speaking Masterclass Bristol,BristolSmall St Bristol BS11DE United Kingdom,"Friday, October 25 · 7 - 8:30pm GMT+1",Free,This is an online event. Register to get the Zoom Login details.,https://www.eventbrite.com/e/public-speaking-masterclass-bristol-tickets-792041777277?aff=ebdssbdestsearch
The Skerts: Halloween gig,Kingston BarnThe Street Kingston CT4 6JB United Kingdom,"Sat, 26 Oct 2024 19:00 - 22:00 GMT",Free,gang gang‼️,https://www.eventbrite.co.uk/e/the-skerts-halloween-gig-tickets-1043471921607?aff=ebdssbdestsearch
Halloween at LIFE ON HIGH,Life on High140 High Street Sevenoaks TN13 1XE United Kingdom,"Saturday, October 26 · 7 - 11pm GMT",Free,Join us for a night of spooky fun & games on the 26th  OCT. One of our favourite nights of the year!,https://www.eventbrite.co.uk/e/halloween-at-life-on-high-tickets-986161925867?aff=ebdssbdestsearch
With Ibby… Halloween Disco,Herons Park VenueDengemarsh Road Lydd TN29 9JH United Kingdom,"Thursday, October 31 · 4 - 8pm GMT",£4.50,"Halloween spooktacular, join us on Thursday the 31st October 2024 from 4-8 for a children’s Disco, party games, fancy dress competition.",https://www.eventbrite.co.uk/e/with-ibby-halloween-disco-tickets-953791174077?aff=ebdssbdestsearch
Halloween Show - The Midnight Carnival,"Orpington Village Hall311 High Street 311 High Street, Orpington. BR6 0NN. Orpington BR6 0NN United Kingdom","Mon, 28 Oct 2024 14:00 - 16:00 GMT",Free,"When a mysterious letter invites Vic to the Midnight Carnival, he finds himself in a spooky adventure.",https://www.eventbrite.co.uk/e/halloween-show-the-midnight-carnival-tickets-1013821105217?aff=ebdssbdestsearch
HALLOWEEN,The Cliffe Restaurant30-32 Clifton Gardens Folkestone CT20 2EF United Kingdom,"Thursday, October 31 · 7 - 11pm GMT",Free,"As the witching hour approaches, join us at The Cliffe Lounge Bar & Kitchen for a night of spine-tingling fun and eerie excitement!",https://www.eventbrite.co.uk/e/halloween-tickets-1008208076497?aff=ebdssbdestsearch
Halloween Trail **SOLD OUT**,Kearsney AbbeyAlkham Road Temple Ewell CT16 3EG United Kingdom,"Wed, 30 Oct 2024 10:00 - 15:00 GMT",£4.50,Dress up in your best Halloween costume and come along to Kearsney Abbey for a fun-filled family event.,https://www.eventbrite.co.uk/e/halloween-trail-sold-out-registration-1024990814117?aff=ebdssbdestsearch
King Hill Sports Park Halloween Trail,Kings Hill Sports Park200 Beacon Avenue Kings Hill ME19 4QP United Kingdom,"Tuesday, October 29 · 11am - 2:30pm GMT",Free,Follow the family-friendly walk along a pumpkin filled trail at Kings Hill and receive a sweet treat at the end - don't forget fancy dress!,https://www.eventbrite.com/e/king-hill-sports-park-halloween-trail-tickets-1003579381947?aff=ebdssbdestsearch
Immersive Halloween Murder Mystery Dinner and Show,The Bluebirds Function Rooms137 Snargate Street Dover CT17 9DA United Kingdom,"Saturday, October 26 · 6:30 - 11:59pm GMT",Free,Immersive dining experience with a 3 course meal and Halloween after party with our resident DJ.,https://www.eventbrite.co.uk/e/immersive-halloween-murder-mystery-dinner-and-show-tickets-1015236077437?aff=ebdssbdestsearch
TPW : Halloween Spooktacular,Minster Village HallHigh Street Minster CT12 4BU United Kingdom,"Sunday, October 27 · 12 - 2:30pm GMT",From £6.13,Join us for a spooky afternoon of professional wrestling for all the family.,https://www.eventbrite.co.uk/e/tpw-halloween-spooktacular-tickets-1002051973427?aff=ebdssbdestsearch
Halloween Tin Art Workshop with Dottie & Cloud,The Beer Shop Folkestone32 Rendezvous Street Folkestone CT20 1EZ United Kingdom,"Thursday, October 31 · 7 - 9pm GMT",Free,Join Megan from Dottie & Cloud for an evening of spooky tin art crafting in The Beer Shop.,https://www.eventbrite.com/e/halloween-tin-art-workshop-with-dottie-cloud-tickets-1027859604747?aff=ebdssbdestsearch
Halloween Singles Night - Ashford,Low Key Taproom39-41 Bank Street Ashford TN23 1DQ United Kingdom,"Starts on Thu, 31 Oct 2024 19:00 GMT",Free,"Spooktacular! Join us for our fun Diamond Singles, Singles Night, at Low Key Taproom in Ashford. Come along and meet other great singles!",https://www.eventbrite.co.uk/e/halloween-singles-night-ashford-tickets-1029879747047?aff=ebdssbdestsearch
Not So Scary Halloween Adventure 2024,CycloparkWatling Street Gravesend DA11 7NP United Kingdom,"Monday, October 28 · 3 - 6pm GMT",£9.92,"Cyclopark's Not So Scary Halloween Adventure is back for 2024! This event, suitable for children under 8's is the perfect seasonal day out!",https://www.eventbrite.co.uk/e/not-so-scary-halloween-adventure-2024-tickets-1021517575567?aff=ebdssbdestsearch
LUSH Canterbury Halloween Workshops,Lush Cosmetics Canterbury8 High Street Canterbury CT1 2JH United Kingdom,"Saturday, October 19 · 2 - 4pm GMT+1",Free,"Come join us this October half term for some spooky, fang-tastic product making workshops!",https://www.eventbrite.co.uk/e/lush-canterbury-halloween-workshops-tickets-996020874247?aff=ebdssbdestsearch
Margate Halloween Life drawing,CAMP125 Northdown Road Cliftonville CT9 2QY United Kingdom,"Saturday, October 26 · 2 - 4pm GMT+1",Free,"Get creative, socialise and have fun at our spooky themed figure drawing session with at bar CAMP.",https://www.eventbrite.com/e/margate-halloween-life-drawing-tickets-1031375711517?aff=ebdssbdestsearch
Sew with Nelly Bea Sewing  Session  14th Nov 24,Hall on the Hill17 Marlow Drive Christchurch BH23 2RR United Kingdom,"Starts on Thu, 14 Nov 2024 14:00 GMT",Free,"What this workshop is about: 
These sewing sessions are designed to give you support and guidance to complete a project of your choice.",https://www.eventbrite.co.uk/e/sew-with-nelly-bea-sewing-session-14th-nov-24-tickets-944159525557?aff=ebdssbdestsearch
Public Speaking Masterclass Swansea,SwanseaWalter Rd Swansea SA15NN United Kingdom,"Friday, October 25 · 7 - 8:30pm GMT+1",Free,This is an online event. Register to get the Zoom Login details.,https://www.eventbrite.com/e/public-speaking-masterclass-swansea-tickets-792091766797?aff=ebdssbdestsearch
